Name,IDfg
Aaron Judge,15640
Bobby Witt Jr.,25764
Shohei Ohtani,19755
Juan Soto,20123
Gunnar Henderson,26289
Francisco Lindor,12916
Jarren Duran,24617
Jose Ramirez,13510
Elly De La Cruz,26668
Ketel Marte,13613
Vladimir Guerrero Jr.,19611
Matt Chapman,16505
William Contreras,20503
Cal Raleigh,21534
Yordan Alvarez,19556
Jackson Merrill,29490
Bryce Harper,11579
Brent Rooker,19627
Willy Adames,15986
Marcell Ozuna,10324
Corey Seager,13624
Mookie Betts,13611
Jurickson Profar,10815
Dansby Swanson,18314
Marcus Semien,12533
Rafael Devers,17350
Steven Kwan,24610
Alex Bregman,17678
Freddie Freeman,5361
Riley Greene,25976
Colton Cowser,29591
Jazz Chisholm Jr.,20454
Corbin Carroll,25878
Trea Turner,16252
Jackson Chourio,28806
Jose Altuve,5417
Nico Hoerner,21479
Eugenio Suarez,12552
Julio Rodriguez,23697
Brenton Doyle,25479
Ezequiel Tovar,24064
Seiya Suzuki,30116
Manny Machado,11493
Ian Happ,17919
Masyn Winn,27479
Teoscar Hernandez,13066
Alec Bohm,21618
Oneil Cruz,21711
Zach Neto,31347
Kyle Schwarber,16478
Isaac Paredes,20036
Anthony Volpe,27647
Anthony Santander,14551
Daulton Varsho,19918
Salvador Perez,7304
Brendan Donovan,24679
Yainer Diaz,23003
J.J. Bleday,26368
Luis Garcia Jr.,20391
Joey Ortiz,25493
Nolan Arenado,9777
Willi Castro,17338
Christian Walker,13419
Tyler Stephenson,17988
Carlos Santana,2396
Wyatt Langford,33333
Nathaniel Lowe,19566
Jonathan India,21523
Josh Smith,26396
Adley Rutschman,26288
Jeremy Pena,21636
Andres Gimenez,19950
Will Smith,19197
Taylor Ward,17548
Brandon Nimmo,12927
Matt Olson,14344
Matt Vierling,21558
Jacob Young,29931
Brice Turang,22186
Heliot Ramos,22515
Josh Naylor,18839
Michael Busch,26319
Lourdes Gurriel Jr.,19238
Cody Bellinger,15998
Bryan Reynolds,19326
Pete Alonso,19251
Jake Cronenworth,18036
Logan O'Hoppe,24729
Shea Langeliers,25816
Jake Meyers,20308
Yandy Diaz,16578
CJ Abrams,25768
Ryan McMahon,15112
Randy Arozarena,19290
Bryson Stott,26294
Colt Keith,27899
Gleyber Torres,16997
Vinnie Pasquantino,27676
Ryan Mountcastle,18373
Sal Frelick,29622
Jake Burger,22275
Jesus Sanchez,19913
Zack Gelof,29766
Jesse Winker,13590
Spencer Steer,26323
Lane Thomas,16939
Justin Turner,5235
George Springer,12856
Jorge Soler,14221
Luis Arraez,18568
Paul Goldschmidt,9218
Leody Taveras,18900
Maikel Garcia,22715
Ceddanne Rafaela,24262
Brendan Rodgers,17907
Orlando Arcia,13185
Nolan Schanuel,33189
Alec Burleson,27615
Alex Verdugo,17027
Andrew McCutchen,9847
Nick Castellanos,11737
Rhys Hoskins,16472
Josh Bell,13145
Andrew Vaughn,26197
Adolis Garcia,19287
Andrew Benintendi,17901
Ty France,17982
Christopher Morel,21897
Bryan De La Cruz,19600
